input(1):
| |4| |9|5|3|1|2| |
|3|1| | | | |9|5| |
|6| | |1|8| | |7| |
| |7| | |4| | | | |
|5|2|6| | | |4|8|9|
| | | | |9| | |6| |
| |8| | |2|4| | |1|
| |6|9| | | | |4|5|
| |5|1|7|6|9| |3| |


solution(1):
|8|4|7|9|5|3|1|2|6|
|3|1|2|4|7|6|9|5|8|
|6|9|5|1|8|2|3|7|4|
|9|7|8|6|4|5|2|1|3|
|5|2|6|3|1|7|4|8|9|
|1|3|4|2|9|8|5|6|7|
|7|8|3|5|2|4|6|9|1|
|2|6|9|8|3|1|7|4|5|
|4|5|1|7|6|9|8|3|2|


input(2):
|9| |7| | | | | | |
| | |2| | |6|9|5| |
| |5| | |3| |4|7|2|
|8| |5| | | | |2| |
| |7|4| | | |5| | |
|1| | | | | |7| | |
| |9| |4| |3| | |7|
| |8|1|2| |7| | |4|
| |4| |9| | | | | |

solution(2):

|9|1|7|5|4|2|6|3|8|
|4|3|2|8|7|6|9|5|1|
|6|5|8|1|3|9|4|7|2|
|8|6|5|7|9|4|1|2|3|
|3|7|4|6|2|1|5|8|9|
|1|2|9|3|8|5|7|4|6|
|2|9|6|4|5|3|8|1|7|
|5|8|1|2|6|7|3|9|4|
|7|4|3|9|1|8|2|6|5|



input(3):
| | |9|3|1| |5|2| |
|5|3|1|7| |6| | | |
| |2|7|4| | | | | |
|4| | | |7| |3| |2|
| | | |8| | | | |6|
| | | | | |3|4|7| |
| | | | |5| | | | |
| | | | | |7| |4|9|
| |7|4| | | |6| |1|

solution(3):
|6|4|9|3|1|8|5|2|7|
|5|3|1|7|2|6|8|9|4|
|8|2|7|4|9|5|1|6|3|
|4|9|6|5|7|1|3|8|2|
|7|5|3|8|4|2|9|1|6|
|2|1|8|9|6|3|4|7|5|
|9|6|2|1|5|4|7|3|8|
|1|8|5|6|3|7|2|4|9|
|3|7|4|2|8|9|6|5|1|


input(4):
|1| | |6| | | |8|4|
| |2| | | |9| | | |
| |4|6|8| | | | |7|
|2| | | |1|5|3|7|8|
| | | | | |3| | | |
|4| |3|9| |8|5|6| |
| | | | | | | | | |
|3| |7| | | | | |6|
|6| |4| | | |8|3| |

solution(4):
|1|3|5|6|7|2|9|8|4|
|7|2|8|5|4|9|6|1|3|
|9|4|6|8|3|1|2|5|7|
|2|6|9|4|1|5|3|7|8|
|5|8|1|7|6|3|4|2|9|
|4|7|3|9|2|8|5|6|1|
|8|1|2|3|9|6|7|4|5|
|3|5|7|2|8|4|1|9|6|
|6|9|4|1|5|7|8|3|2|

input(5):
| |4| |9|5|3|1|2| |
|3|1| | | | |9|5| |
|6| | |1|8| | |7| |
| |7| | |4| | | | |
|5|2|6| | | |4|8|9|
| | | | |9| | |6| |
| |8| | |2|4| | |1|
| |6|9| | | | |4|5|
| |5|1|7|6|9| |3| |

solution(5):

|8|4|7|9|5|3|1|2|6|
|3|1|2|4|7|6|9|5|8|
|6|9|5|1|8|2|3|7|4|
|9|7|8|6|4|5|2|1|3|
|5|2|6|3|1|7|4|8|9|
|1|3|4|2|9|8|5|6|7|
|7|8|3|5|2|4|6|9|1|
|2|6|9|8|3|1|7|4|5|
|4|5|1|7|6|9|8|3|2|





